Sample,Genotype,Gender,CPD037,CPD047,CPD079,CPD589,CPD590,CPD668,CPD669,CPD765,CPD784,CPD819,CPD842,CPD926,CPD928,CPD130,CPD133,CPD134,CPD248,CPD391,CPD749,CPD761,CPD762,CPD825,CPD852,CPD001,CPD002,CPD003,CPD004,CPD005,CPD006,CPD007,CPD008,CPD010,CPD011,CPD847,CPD013,CPD014,CPD015,CPD016,CPD017,CPD018,CPD838,CPD019,CPD020,CPD834,CPD022,CPD023,CPD024,CPD025,CPD026,CPD027,CPD028,CPD829,CPD030,CPD031,CPD032,CPD033,CPD035,CPD036,CPD039,CPD040,CPD041,CPD812,CPD044,CPD046,CPD048,CPD049,CPD050,CPD051,CPD052,CPD053,CPD054,CPD056,CPD057,CPD058,CPD059,CPD060,CPD061,CPD062,CPD063,CPD064,CPD065,CPD066,CPD067,CPD068,CPD069,CPD070,CPD071,CPD072,CPD073,CPD074,CPD075,CPD076,CPD077,CPD078,CPD080,CPD081,CPD082,CPD083,CPD086,CPD087,CPD088,CPD089,CPD090,CPD092,CPD093,CPD094,CPD095,CPD096,CPD097,CPD098,CPD099,CPD100,CPD101,CPD102,CPD103,CPD105,CPD106,CPD107,CPD108,CPD109,CPD110,CPD111,CPD112,CPD115,CPD116,CPD117,CPD118,CPD119,CPD120,CPD121,CPD122,CPD123,CPD124,CPD125,CPD126,CPD127,CPD128,CPD129,CPD132,CPD135,CPD136,CPD817,CPD138,CPD139,CPD140,CPD141,CPD142,CPD143,CPD144,CPD145,CPD146,CPD147,CPD149,CPD150,CPD151,CPD152,CPD153,CPD154,CPD155,CPD156,CPD157,CPD158,CPD159,CPD160,CPD161,CPD162,CPD163,CPD164,CPD165,CPD166,CPD167,CPD168,CPD169,CPD170,CPD171,CPD172,CPD173,CPD175,CPD177,CPD178,CPD179,CPD180,CPD181,CPD182,CPD183,CPD184,CPD185,CPD186,CPD187,CPD188,CPD189,CPD190,CPD191,CPD192,CPD193,CPD194,CPD195,CPD196,CPD197,CPD198,CPD199,CPD200,CPD201,CPD202,CPD203,CPD204,CPD205,CPD206,CPD207,CPD209,CPD210,CPD211,CPD212,CPD213,CPD214,CPD215,CPD216,CPD217,CPD218,CPD219,CPD221,CPD222,CPD224,CPD225,CPD227,CPD229,CPD232,CPD234,CPD236,CPD237,CPD238,CPD239,CPD240,CPD242,CPD244,CPD246,CPD247,CPD249,CPD250,CPD253,CPD254,CPD258,CPD259,CPD261,CPD262,CPD264,CPD268,CPD271,CPD272,CPD274,CPD275,CPD276,CPD277,CPD278,CPD280,CPD281,CPD282,CPD283,CPD284,CPD285,CPD287,CPD288,CPD290,CPD292,CPD293,CPD294,CPD295,CPD298,CPD299,CPD301,CPD302,CPD304,CPD305,CPD306,CPD307,CPD310,CPD312,CPD313,CPD314,CPD315,CPD316,CPD317,CPD318,CPD319,CPD320,CPD321,CPD322,CPD323,CPD324,CPD325,CPD326,CPD327,CPD328,CPD330,CPD331,CPD332,CPD334,CPD336,CPD337,CPD338,CPD339,CPD340,CPD341,CPD342,CPD343,CPD344,CPD345,CPD346,CPD347,CPD348,CPD349,CPD351,CPD352,CPD353,CPD354,CPD355,CPD356,CPD357,CPD358,CPD359,CPD361,CPD362,CPD363,CPD365,CPD366,CPD367,CPD368,CPD369,CPD370,CPD371,CPD373,CPD374,CPD375,CPD376,CPD377,CPD378,CPD379,CPD380,CPD381,CPD382,CPD383,CPD384,CPD385,CPD386,CPD388,CPD389,CPD390,CPD392,CPD393,CPD394,CPD395,CPD396,CPD397,CPD398,CPD399,CPD400,CPD401,CPD402,CPD403,CPD404,CPD405,CPD406,CPD407,CPD408,CPD409,CPD410,CPD411,CPD412,CPD413,CPD414,CPD415,CPD416,CPD417,CPD418,CPD419,CPD420,CPD421,CPD422,CPD423,CPD424,CPD425,CPD426,CPD427,CPD428,CPD429,CPD430,CPD431,CPD432,CPD433,CPD434,CPD435,CPD436,CPD437,CPD438,CPD439,CPD440,CPD441,CPD442,CPD443,CPD444,CPD445,CPD446,CPD447,CPD448,CPD449,CPD450,CPD451,CPD452,CPD453,CPD454,CPD455,CPD456,CPD457,CPD458,CPD459,CPD460,CPD461,CPD462,CPD463,CPD464,CPD465,CPD466,CPD467,CPD468,CPD469,CPD470,CPD471,CPD472,CPD473,CPD474,CPD475,CPD476,CPD477,CPD478,CPD479,CPD480,CPD481,CPD482,CPD483,CPD484,CPD485,CPD486,CPD487,CPD488,CPD489,CPD490,CPD491,CPD492,CPD493,CPD494,CPD495,CPD496,CPD497,CPD498,CPD499,CPD500,CPD501,CPD504,CPD506,CPD507,CPD508,CPD509,CPD510,CPD511,CPD513,CPD514,CPD515,CPD516,CPD517,CPD518,CPD519,CPD521,CPD522,CPD523,CPD524,CPD525,CPD526,CPD527,CPD528,CPD529,CPD530,CPD532,CPD533,CPD534,CPD536,CPD537,CPD538,CPD540,CPD541,CPD543,CPD544,CPD545,CPD546,CPD547,CPD548,CPD549,CPD550,CPD551,CPD552,CPD553,CPD554,CPD555,CPD556,CPD557,CPD558,CPD559,CPD560,CPD561,CPD562,CPD563,CPD564,CPD565,CPD566,CPD567,CPD568,CPD569,CPD570,CPD571,CPD572,CPD573,CPD574,CPD575,CPD576,CPD577,CPD578,CPD579,CPD580,CPD581,CPD582,CPD583,CPD584,CPD585,CPD586,CPD587,CPD588,CPD591,CPD592,CPD593,CPD594,CPD595,CPD596,CPD597,CPD598,CPD599,CPD600,CPD601,CPD602,CPD603,CPD604,CPD605,CPD606,CPD607,CPD608,CPD609,CPD610,CPD611,CPD612,CPD613,CPD614,CPD615,CPD616,CPD617,CPD618,CPD619,CPD620,CPD621,CPD622,CPD623,CPD624,CPD625,CPD626,CPD627,CPD628,CPD629,CPD630,CPD631,CPD632,CPD633,CPD634,CPD635,CPD636,CPD637,CPD638,CPD639,CPD640,CPD641,CPD642,CPD643,CPD644,CPD645,CPD646,CPD647,CPD648,CPD649,CPD650,CPD651,CPD652,CPD653,CPD654,CPD655,CPD656,CPD657,CPD658,CPD659,CPD660,CPD661,CPD662,CPD663,CPD664,CPD665,CPD666,CPD667,CPD670,CPD671,CPD672,CPD673,CPD674,CPD675,CPD676,CPD677,CPD678,CPD679,CPD680,CPD681,CPD682,CPD683,CPD684,CPD685,CPD686,CPD687,CPD688,CPD689,CPD690,CPD691,CPD692,CPD693,CPD694,CPD695,CPD696,CPD697,CPD698,CPD699,CPD700,CPD701,CPD702,CPD703,CPD704,CPD705,CPD706,CPD707,CPD708,CPD709,CPD854,CPD710,CPD721,CPD712,CPD713,CPD714,CPD715,CPD897,CPD717,CPD718,CPD719,CPD720,CPD722,CPD723,CPD724,CPD725,CPD726,CPD727,CPD728,CPD729,CPD730,CPD731,CPD732,CPD733,CPD734,CPD735,CPD736,CPD738,CPD739,CPD740,CPD741,CPD742,CPD744,CPD776,CPD745,CPD746,CPD747,CPD748,CPD752,CPD753,CPD754,CPD755,CPD756,CPD757,CPD758,CPD759,CPD760,CPD763,CPD766,CPD767,CPD768,CPD769,CPD770,CPD771,CPD772,CPD773,CPD775,CPD777,CPD778,CPD779,CPD780,CPD782,CPD785,CPD786,CPD787,CPD788,CPD789,CPD790,CPD791,CPD792,CPD793,CPD794,CPD795,CPD796,CPD797,CPD798,CPD799,CPD800,CPD801,CPD802,CPD803,CPD804,CPD805,CPD807,CPD808,CPD809,CPD810,CPD811,CPD813,CPD814,CPD815,CPD816,CPD820,CPD821,CPD822,CPD823,CPD824,CPD826,CPD828,CPD830,CPD831,CPD833,CPD835,CPD836,CPD837,CPD843,CPD844,CPD845,CPD848,CPD849,CPD850,CPD851,CPD855,CPD856,CPD857,CPD858,CPD859,CPD860,CPD861,CPD862,CPD863,CPD864,CPD865,CPD866,CPD867,CPD868,CPD869,CPD870,CPD871,CPD872,CPD873,CPD874,CPD875,CPD876,CPD877,CPD878,CPD879,CPD880,CPD881,CPD882,CPD883,CPD884,CPD885,CPD886,CPD887,CPD888,CPD889,CPD890,CPD891,CPD892,CPD893,CPD894,CPD895,CPD896,CPD898,CPD899,CPD900,CPD901,CPD902,CPD903,CPD904,CPD905,CPD906,CPD907,CPD908,CPD909,CPD910,CPD911,CPD912,CPD913,CPD914,CPD915,CPD916,CPD917,CPD918,CPD919,CPD920,CPD921,CPD922,CPD923,CPD924,CPD925,CPD927,CPD929,CPD930,CPD931,CPD932,CPD933,CPD934,CPD935,CPD936,CPD937,CPD938,CPD939,CPD940,CPD941,CPD942,CPD943,CPD944,CPD945,CPD946,CPD947,CPD948,CPD949,CPD950,CPD951,CPD952,CPD953,CPD954,CPD955,CPD956
B6NC_100766_209241,null,Female,1270,20571,149325,34221,1893519,2145739,2504535,13363,765360,9925288,12822, , ,27657,705519,9240,537679,133890,3698990,1030719,64115,27543154,831458,933,39331,1727,514189,1366,552,628960,2524,158266,19669,405824,1073,86813,14685,54308,12465,484,100166,6831,310030,2325721,740,4011,1466,491,1253,4896,5670,11848120,2519,1309,7019,2574,12234,18326,66276,561138,32,15377894,11390,64410,58155,59653,687,10370,3190,5661,205574,320044,5271,1911619,2705,1193,214931,713,2459,84,1506,8314,5054,5658,969209,15576,1048,479,2622,282,1803,6311,5531,23863,1109,1717,377518,6535,2744,70550,3335,1150,4551,2156,1333,2646,1534,569,1041,4200,39055,154497,1148,3006,1129,6391,4417,2061,2569,3372,2037,1170,4257,1337,828,8555,3264,138234,1329,1097,6712,16410,856,17261,1507,25105,46192,123952,232540,152230,30550,169951,850112,722176,67652,1901094,41048,41659589,671316,2310332,551901,2734708,7708376,32607470,1385694,448670,15194829,,953892,197513,26057230,177391,588414,1408864,,190693,1379026,,248983,137220,111815,491245,1355197,169777,1600062,573435,3595991,3048292,290747,62343,181783,294347,2241091,296844,489738,4244256,2376472,489813,1015857,158039,7293592,1111639,15644439,802608,422637,962789,233715,151729584,227448816,19716948,710839,1204364,472379,6060920,3173057,1152345,4946603,25819212,6401398,243337,182326,122244,2964911,36317212,98765,819737,209579,1319957,678316,940636,1945649,1287062,983755,1252053,303851744,3378750,42501472,46535005,63008268,1398176,1182794,1355350,471582,1429899,2205880,7354840,3602612,313108,923244,637340,16660208,67360,18924296,12850053,4722578,13384209,16887396,61500,7048220,239467,7113176,124036,4311350,204213,117650,84702,280378,,1672391,28649,16729385,4751822,1398344,170435,192175,825266,3242591,4980716,168003444,857528,59043172,4425430,3013987,7357383,389008,1101264,9513775,1569187,1101480,2854167,712327,621434,924648,4995870,3037898,40412496,670609344,15723778,39558365,6882024,2177236,158420816,12010724,30781638,451283,296403712,3876088,5095128,1484684,233305,208870,1842099,645531,6277595,1366999,816781,2538716,644314,302939,297922,2462478,1690946,4492452,453432,2625499,8754556,9253369,21412604,284621568,5128239,57350612,1210348,14888132,35103854,12359873,491326,904750,1898347,266511,727124,4066904,380589,6580698,213932,9888168,12486878,2429009,37638344,2257079,2392172,46462,102443,249038,,404774,9561012,1213594,358486,90206,470966,257599,254823,83366,311462,197501,829151,125152,793652,482182,3518147,435109,48704,278709,568909,250829,131360,298514,86421,100477,30396,559276,966868,87100,,21165,19615,246319,1765010,807991,100576,162091,2881951,1533873,332370,1147986,2681588,405660,634732,42613,56378,355234,222995,5820875,106640,1638959,3242170,1400578,115622,111225,843583,1103121,1124450,271383,166037,72525,645446,415896,46070,112750,138142,1561839,592120,49986,714331,455986,1791073,763812,544332,103871,26949,603065,5864058,312294,638030,11415902,952629,1706636,8459518,187723,82121,463955,640295,2849237,55256788,215835,123109,2343948,659494,326433,390223,,244658,1423915,42661,412670,39058,253691,158901,165322,158549,2235316,1885700,427630,2451238,2337973,631105,11676466,,312646,,31458,1044197,1598782,293432,23831160,1523204,26557,905658,,163497,3516096,77792,23824,250372,373312,109802,125400,148442,37110,1274903,873616,383415,125098,1382441,256169,,2050608,6350955,5759105,2200903,64337,24188,81762,81762,,27775,,84975,153176,38276,209981,32327,76514,64594,1541665,55193,2341068,257555,877933,192211,690954,130852,55204,378381,588668,53155,,4701915,9527650,5083577,8171547,145752,2280032,178815,620287,,207461,930664,1434276,934678,1599862,296876,,284224,,25983379,36828429,1407598,41959980,3185856,8133809,834909,1243741,210937,118131,880504,,2400352,36708,2602324,194187,1104314,492832,3164051,25275884,,25312308,37606833,4764432,503110,64186424,21147154,4749110,6513402,31441302,919674,7136393,24294980,3885436,3110387,1683494,9463122,768874,1164164,1310757,535271,686906,65888,,196273,608514,467379,955748,5140290,523640,5687240,3321581,6636127,8294689,11550324,8466628,7782868,8509147,6326523,12462586,5705012,5561536,1903428,2411896,2619421,43326,101035,992784,7084639,1515829,585592,243352,405889,377971,345219,303899,659186,1124506,4597525,888780,9636356,2271173,1131711,862133,3941865,1092028,121845,2386698,2002680,290969,619819,258201,1689184,415708,789911,695278,12423,1788038,349605,105538,2823786,65402,,61113,265328,12536405,133075,705251,215280,144462,,1345460,1558970,3825368,804916,359885,1018169,741848,280494,310902,793816,549779,176061,236214,9.729231824,123966,517932640,6108622,2094286,14533984,182075,58462,154473648,18746,1023793,2205572,166762,1773757312,227920,100565,236366,222059,148830960,148480,845084,245006800,458625,323587,395186,48068,132541936,866010,5674,302721,2070377,1762575,778573,597879,1677053,111119,384693,221094,3591778,850907,30602,2736401,8960606,1714240,100031,317324,44966,550887,10932720,17820,9255098,12648,501721,92847188,63982,8940290,3089117,3059960,820011,253757,1183800,393801,180851,357435,1976278,484360,331201,339212,324898,415685,1199153,1209051,640136,12270,512072,150418,264790,186543,3202543,869496,40843,1500175,274141,143645,173893,723645,7147,292936,902716,412672,414359,3055196,9995550,370859,200574,5091227,,69699,2814547,7404,874215,26271440,1071085,75227048,44231,0.375972986, , ,95.49012802, ,2257.359307, ,1.01478948,3.016490504,12.87107695,10.50556169,4.43358338,1.471757176,1.041642452,1.053643945,0.8274964,2.05019386,2.171173613,8.956903287,1.045380175,4.617436187, , , ,112.7155952,37.80313546,7.275634532,2.554095297, ,1.527172775,88.68882459,5.534296672,0.843234427,0.705424571,7.518847581, ,9.727451032,0.838391583,2.817584965,55.7333325,1.088281926,4.311996387,3.158741169, , ,11.77967808,13.29606519,5.204319807,11.67446951, ,0.661862991,0.841382158,1.582814857,0.476370337,13.36158476,13.28124006,133.8914309,26.34917841,22.66978398,55.82073903,226.4102108,18.57780704,14.32754982,184.8825439,4.789024271,6.022210969,64.96732111, ,24447.37212, ,7.98181378,2.909064273, , , , , ,9.884965383, , , , , , , , , , , , , , , , , , , , , 
B6NC_103485_220170,null,Female,1305,26600,191441,,2201233,1698973,2334719,13250,873700,7751158,61626,244.8445811,5.679045164,7464,1248911,15623,482392,117594,3469536,1387508,39809968,37732392,1001761,468,9356,1507,612749,1206,817,523568,1116,180952,20637,422606,1421,118235,14212,51275,20750,600,131197,5702,340535,2759412,857,9405,1051,510,905,3794,3723,14810212,2420,1111,3992,2438,5298,32281,61179,579527,400,20879778,886,60998,54378,34847,1187,8445,3679,6513,186286,360731,3123,911882,1664,1662,254495,856,2588,472,868,4914,4113,3167,770411,14083,9299,292,6188,500,1794,18115,2514,18344,768,1760,260908,8292,2131,101117,1321,746,3492,2010,1499,660,934,366,988,3342,33111,149544,863,3344,1096,7331,4918,2193,2687,2384,2626,1196,3517,2120,3314,7736,2875,197207,821,1359,2861,13972,2062,20772,1444,31800,42278,200418,301266,234878,41093,295824,1454619,1096663,59818,1187627,,38370774,675767,2528833,432513,2233718,4822220,37396137,1422208,546827,166060,65192,719190,139148,29400782,96732,772672,1546887,33374,176021,1482466,,459688,204569,94703,341642,1525825,181426,1404938,325102,3018955,2767934,297140,66649,197398,290890,2841961,374827,489826,4628206,2856920,537286,1724813,173919,7598211,1140742,30892176,1244710,720196,1306163,286847,241154624,340265696,24209988,775528,1099428,588651,8105610,3094587,870575,5951093,31307422,5129740,593374,168388,61784,2848902,32555098,165948,755265,338830,1610798,755631,983385,1989523,1266889,898419,1080767,325833184,3244640,46148512,38144393,54220396,1668824,1011844,195579,335915,963379,1738323,8158691,4280094,250052,496151,674353,16419560,512898,13109214,10064610,4133336,13170251,18698226,73050,7189842,227707,7708018,119057,4009819,125497,110466,65422,282639,,1830816,28797,19585409,5415886,1289496,215148,155370,699809,2743125,5420350,150881572,1140991,60246860,4765282,837014,7920455,374777,837422,8802898,1286356,960029,2514264,1115619,700737,1095579,4524281,2578520,39464836,655566208,14009928,33688428,5974766,2640426,141132858,10555069,34264232,761864,384015616,3428754,5458664,1908345,290618,190657,1445921,569364,5147974,1267535,1025758,3070837,670086,321062,230572,2043811,1228169,4438458,310427,2956119,7033425,23932716,26248590,380224352,2931182,58554849,1234852,17172458,43152766,14977152,781746,1033460,2349463,233842,703426,3834843,291192,5671220,159860,11840514,17650123,2519842,38810504,2636840,2710567,39567,105219,244201,,306670,8612430,866320,346950,121443,506187,217614,243518,75277,193286,179165,713059,74405,964020,469036,3231608,438617,189791,320135,558734,213570,113621,258057,116465,87327,38843,661596,919912,109280,22121,,,205803,1527710,660355,242354,201977,2781798,1401023,302041,923187,2809203,417412,530756,79944,35903,303663,236551,4977246,95009,1234134,3116686,1520262,134012,41602,144546,1121014,714522,122773,67938,69736,454618,397595,31165,105663,97217,1596279,444258,108470,713002,501071,2190270,735316,423191,97707,28201,539995,5171802,278982,434914,10111213,599231,1706065,7643722,147080,58028,299366,665908,2283951,60003096,165427,220205,1910551,779861,331826,354115,32235,176264,1532637,,257345,42813,150935,150397,141244,130899,2308239,2054617,520287,2727449,2437859,454601,8824346,,282687,21912,21167,979408,1493372,213072,25612708,1692690,,1127047,261947,180185,3767439,59664,28722,299733,388326,103383,119787,129221,32941,1248978,826449,321161,136302,1215986,211314,24084,1726072,5770012,4451422,1732680,35733,26175,45952,45952,,73821,34634,74656,113119,38028,145590,51724,66972,46179,1394641,33468,2201145,1069388,815973,83373,535689,167734,125283,389143,657989,64278,,5034886,10030789,5843072,8480357,315047,1945549,236415,550192,45770,352723,816656,1455443,831421,1508957,280641,28507,283316,,22070553,34468860,2609356,41349599,4368540,8184559,1124221,1275525,220769,118969,789028,,2001386,48420,2247389,64270,1094206,619752,3385614,21005448,,21005448,34697660,6716528,385433,53650308,20631158,4828007,6914309,33314498,1215729,9019806,25649113,3289245,2853164,1476218,10495046,855660,681458,1449854,526628,584517,50117,,225587,778730,648818,1140673,5212413,673625,6134238,3402108,6674104,8693384,10459165,8048657,6070334,10018450,5274556,10947057,7331602,6756426,1769406,2124762,2486564,52437,210000,981904,6735395,1790819,680259,334506,455369,501429,427850,289705,757891,900591,3288366,1082437,7870851,2478524,1153930,771576,4799337,956551,149226,1696971,1502659,101710,522780,256670,2331968,145656,1083484,1134386,25675,2635930,404430,550321,3207356,66286,,39616,201494,16995980,69934,902788,88552,40911,,1862936,2524899,3635002,635019,418326,358454,725101,511958,315235,852533,319679,122864,179053,54.66518654,114914,586557120,6123092,5487766,15024161,230668,59638,157881824,10730,1869894,2530259,187376,1497852800,311233,164487,311604,261930,73912352,182096,970675,272032320,656695,412108,200270,55423,145463424,134519,,206601,2910139,2376150,1249029,716685,2010161,297205,501840,271397,6352982,953457,11149,6156715,10239158,1654975,131432,430788,38098,539137,10687407,33425,9330647,26719,484174,142369736,87037,8147656,3302542,1727086,675850,263242,1401296,433921,527499,840482,1641103,565240,416841,377995,308150,227783,1316622,2751196,628018,10139,551380,268415,318064,200961,2196436,550414,27090,2111578,598426,63315,235140,298085,35001,283947,1268237,410846,65757,2990852,11447357,261320,400020,24012644,,117741,9270818,,397073,26454108,532580,68482216,243539,0.872582809, , , , , ,0.377393246,1.66451027,5.551705518,20.6808829,15.6917241,5.926020179,1.772793954,1.478069085,1.451029106,0.978996036,2.872299264,2.519127112,9.624170479,1.331138181,4.638344635, , , ,125.1873725,67.45032259,13.82321688,3.201544169, ,1.609746136,161.1348448,2.269132537,1.518119087,0.760516506,8.587877449, ,10.72921135,0.62177545,1.827195328,79.29998972,3.056962339,3.789407059, , , ,2.081684561,22.78991424,6.265557222,11.18919584, ,0.614139295,1.068692721,2.706297435,0.358162935,0.425187202, ,166.3351315,113.7806516,109.1516583,195.4053556,389.0860108,76.80353013,43.02723301,801.3637979,45.62470432,8.113996485,73.22988781,53.39859142,7.812227283,0.887279437, , ,3.079491827, , , ,226.0974322, , , , , , , , , , ,10.50468793, , , , , , , , , , , 
B6NC_118083_229695,null,Female,442,9069,126391,,1343010,1226490,1387088,12491,636544,9954133,73936,221.6382847,12.88104174,,1518891,,530317,98993,3608937,1231574,72458,28660394,1110760,3525,6210,1232,396628,1034,5892,385813,1767,137474,13639,477703,995,86124,10391,34952,1872,403,208812,4404,396523,2928858,1052,5382,734,928,365,4653,4254,13810433,1688,1549,14617,983,27248,12584,77497,436572,32,16412317,1500,53229,36612,73229,938,8102,2670,4682,160004,283359,6956,894820,1690,1348,191529,990,2448,296,2092,1864,4009,6521,622867,7339,1100,518,5391,26,2864,23208,5605,11880,1333,4419,175618,5035,2528,103296,1764,1040,30859,2131,1230,6089,1279,221,772,2371,23697,138802,593,2311,1028,15142,4252,1748,3596,2826,2709,462,1718,2788,491,7200,2696,124411,750,1354,4125,7450,963,23117,1200,17835,34405,195026,426293,201906,44380,340724,1501983,917222,65491,1601115,,38746508,207483,2330001,380302,2252730,4702384,42952592,1086304,477734,138019,,588895,131118,28776133,66757,519076,1126795,,101045,1236800,,396316,177228,100258,170018,1204855,127711,1159981,173122,2676169,2442940,236898,26622,121581,248795,2005638,261713,427072,2967534,2157245,437468,1063853,150035,6921923,810973,26624586,928656,414705,1118895,198069,200261216,278310752,18136964,753275,872435,427494,5235347,2195963,631644,4233478,24345058,4440686,179487,149209,63352,2390644,25432332,68190,605682,426540,1442706,687279,922564,1943816,978233,741357,935281,337425216,2783538,44089800,35713512,43717720,1348653,973420,1069448,308530,789982,1441520,4199365,1339115,225108,453076,531109,10997936,532688,6238626,6713442,2791567,9348965,15722012,66739,6834140,207470,5428344,62110,1381051,72644,137036,82900,182352,,1609570,25818,18271556,4323277,821667,180273,137097,546666,2052719,5237635,140836179,437015,50805552,3736632,652346,5262457,235452,852500,6789739,1117652,898567,1668571,789757,474616,1108697,4047568,1795930,34629252,542327360,9883290,27366250,5724440,1308325,94513167,7683314,31989830,432402,344251456,2334749,3851157,1316352,172919,129725,1084919,419039,4036973,994132,760069,2715891,609103,285115,252026,1412780,1146767,3750211,614415,1887211,5118465,7031081,23065154,359674560,2139594,50973158,860525,16011212,36196604,10405954,597554,797762,1950853,204386,666765,3372253,222983,5764855,187605,11230873,15067704,2333007,32565554,739934,2225586,58922,80661,264490,,250731,6666260,857839,356328,86054,461128,226253,195549,52837,172234,200088,857222,84873,769470,593260,3173059,431498,74218,365046,514087,319580,151133,287087,44309,134023,,748728,756359,98292,65717,,,132728,902916,385809,25138,143430,1671482,909170,191238,530754,608550,248963,330082,45083,73604,254813,263938,4281620,37077,688672,2577924,1160391,121856,94461,156350,1044850,717293,147310,58345,73146,505155,422205,45094,90529,70781,1517486,468054,144860,767826,435250,128510,865239,384643,62773,20835,366287,3641806,155075,285718,6394358,1485213,1154571,5802374,125320,18187,78224,528967,2028070,48573824,134468,34059,1469932,575840,304605,99439,36949,164674,1162432,37795,283246,40872,160587,137229,105546,125187,2204830,2161480,577519,2627298,2557091,552475,11278441,,329983,35265,,941426,1443359,223477,25512554,1710883,,1385768,107217,186693,4513236,61874,28946,345045,442658,124289,122167,171628,21014,1321622,758771,385786,92859,1346928,219510,,1874193,5672556,5467669,2013799,43003,32299,58474,44430,22144,,,47103,103089,38694,91127,46478,60680,105782,1322568,38471,1577238,716582,493032,147485,344320,84586,64119,267473,475072,50057,,3923849,7746241,3763829,6330719,235002,1243417,251273,333171,35256,108176,490165,878147,679821,1133360,158482,,196511,,18283791,31017241,1923266,40887033,3525235,6055723,710909,783917,170377,38665,524910,,1417934,,1638537,97904,654842,367177,1963760,4081741,41421,14700267,23698622,3189267,368126,37575640,15295209,3578773,4537705,25330575,1055740,7031761,18293743,3764183,2255250,1405487,5514214,596979,493096,580802,280938,350268,42163,,114854,567716,347368,682989,2878409,340108,2913810,2761047,3691660,6922338,7415157,4549427,4678863,7241004,4488573,9281192,4930138,8327949,930404,1304030,1800023,43680,,775471,4734400,1337625,463446,96510,230309,264640,197016,154816,450111,558659,2173187,601211,5535739,1404106,645787,530873,2667620,735626,42968,1046435,1133129,73912,511602,225905,2147158,254732,941379,1144138,85731,2109204,424068,69650,2752890,44497,,45277,155626,13162953,103870,749372,114364,263453,,1970943,2923014,2125900,723536,463878,428886,641058,621814,225136,1152663,176648,261610,708243,49.64735469,115199,476289024,3695303,1923655,18792180,214429,56664,157913008,13751,1242210,2223156,146814,1589999616,235757,68438,268230,146660,110807512,230492,752288,298685856,506874,377438,139394,44522,121539632,69651,11906,202788,2997594,2093442,429863,918290,2020287,308098,529537,354959,5570250,881843,107186,1801725,8894833,2264810,182235,239244,38208,463311,6414638,9167,10147305,11454,657732,111654288,111163,8700876,3712525,2046981,644595,260265,1163380,341827,112665,81074,2026537,656882,342582,319995,311940,187464,1296655,1478032,725708,14044,521027,233117,395768,165141,2524630,564244,14012,2364184,235864,46662,332810,390508,28057,245610,972650,516887,573896,3093859,10360641,78387,333319,4384587,,491090,3475387,,898757,22925546,476074,45738308,97122,2.136492491, , ,5.70263245, , ,0.492635608,2.082032455,4.581883636,17.74563795,12.10967269,3.84259806,1.571571854,0.897285879,1.064459792,0.72374398,2.215484125,1.57250584,6.011833981,1.174009391,3.474218795, , , ,92.40075095,50.46801918,5.020684915,1.96355752, ,0.943726525,93.08219964,2.230926003,0.83807572,0.948720856,5.484730072,0.311631155,7.311439188, ,1.500590646,47.06999423,1.073872658, , , , , ,14.51232592,4.488540563,8.997103161, ,0.42966374,0.583053892,1.788101463,0.436835808,1.256949715, ,150.8522192,582.0726283,568.5155509,561.9451158,464.2097314,87.90411632,20.03002028,565.9092542,51.0645284,71.01440349,113.2707676,595.7213712,9.891231194,1.291821807,9.168527437,12.73278361, ,1.464164071, ,28.62383284, , ,7.776274868, ,12.45592645, , , , , , , , , , , , , , , , , , 
