label,p_value,fold_change,adjusted_p_value
CPD037,8.69307305262424e-06,-532.779120035798,5.05440104631152e-05
CPD047,0.307824150088596,-1814.49128531298,0.431568102643143
CPD079,0.0807304088436197,15271.6894365134,0.15282454139234
CPD590,0.286867228852272,555868.272234254,0.41110902162984
CPD668,0.000720124643554594,1696426.62729122,0.00260525093268196
CPD669,0.00204581870602345,1405543.44302339,0.00642971593321654
CPD765,0.00565685474900222,9585.98054376966,0.015099438941646
CPD784,0.56455621722381,-64146.9670683793,0.665048857916326
CPD819,4.87902175058652e-10,-4176470.17139095,8.82560823328317e-09
CPD842,0.877739333651202,1970.72566591981,0.917175632338996
CPD926,0.00479982190560673,-63.7881461450034,0.0131550674449962
CPD928,0.00430611684388207,-3.69158204174846,0.0119223779282993
CPD130,0.00040562013051747,45937.4364264641,0.00160279022447195
CPD133,0.816018070731013,-31485.1072276145,0.875870837657499
CPD134,0.102143499892535,-3675.93928259673,0.182650991863399
CPD248,2.41608354486829e-09,269904.974650707,3.6420222324496e-08
CPD391,1.74733108696856e-14,258824.353711846,1.29302500435674e-12
CPD749,0.264300495666996,-203693.762236892,0.38764072697826
CPD761,4.51131955544806e-05,461377.198478361,0.000225289209701517
CPD762,0.60342172918229,-3290867.6471328,0.700692278964885
CPD825,0.182509677566351,-2865108.40995689,0.289032835679007
CPD852,0.164792000162027,-95747.9545165392,0.268281376263781
CPD001,0.882346207936981,81.0382836162994,0.920807452898337
CPD002,0.999360103269757,-3.20916540717582,0.999360103269757
CPD003,0.00308904761522283,346.042698461047,0.00898030270996922
CPD004,0.0506435167751983,-86047.1311460402,0.102615652861395
CPD005,0.965922012176367,12.6274496686509,0.981598649078105
CPD006,0.692820853108132,490.921235965148,0.775730638830838
CPD007,0.84862012901368,9218.04777715076,0.897112707814462
CPD008,0.967703431789588,13.6622111089396,0.98181036861558
CPD010,6.57179666413956e-05,-58052.5561237405,0.000318419195512476
CPD011,0.314020715445578,-1517.15978227378,0.436945063884958
CPD847,0.254761962730987,-35403.8827188262,0.377707493118748
CPD013,0.173644549741793,-161.648763639854,0.27879026329353
CPD014,0.0399965891579939,-14922.9478268671,0.0836946621455194
CPD015,0.606329353487905,728.671886071907,0.702730057303918
CPD016,0.308080105675147,17125.7348884213,0.431568102643143
CPD017,0.356110478723596,-2150.88475062591,0.480267860225264
CPD018,0.113305410391667,245.233451694114,0.199140000893636
CPD838,0.535376760829288,-11462.3797871488,0.639936392533099
CPD019,0.411097330723213,766.630800579702,0.525992776461102
CPD020,0.64771849319318,8203.60083678233,0.738435368990544
CPD834,0.302534583725953,-157186.14375755,0.42754019297383
CPD022,0.215393867738254,167.630544545886,0.333328152735624
CPD023,0.956878217599003,271.020764518362,0.976063745771414
CPD024,0.248385382509491,-90.4805926382103,0.371664892210893
CPD025,0.725782149520282,22.8986125822478,0.804886470993882
CPD026,0.760782816572953,-46.0079357228279,0.833482116676156
CPD027,0.371059400261482,1384.00568378662,0.49300631582755
CPD028,0.286514829413081,-430.088895571628,0.41110902162984
CPD829,0.776801528281197,-501238.704719417,0.844214210975827
CPD030,0.088682289146808,-372.143864136664,0.162951203985331
CPD031,0.956613360202192,-9.26352335155044,0.976063745771414
CPD032,0.270697700990906,-4358.15822100925,0.394888760943723
CPD033,0.116823465633622,-444.320246528718,0.202328300054827
CPD035,0.730201583375441,-887.193991136356,0.808685835194026
CPD036,0.873882140559801,458.777024847401,0.915495575824553
CPD039,0.51165765200932,2019.22564338111,0.619775786808909
CPD040,0.796306185254035,6662.74303255303,0.858534085823556
CPD041,0.859999677940098,-100.114458581818,0.905614149861888
CPD812,0.22153476696936,-2415511.38592559,0.339603202096156
