Gene ID,Genotype,Gender,Parameter,Fatmass,Leanmass,BoneMineralDensity,BoneMineralContent,Bodylength,BMC_Body weight,Lean_Body weight,Fat_Body weight,Bone_Area,Bodyweight
MGI:2449119,A2m,F,ABDJ_77_216077,3.687,16.463,0.0483,0.3942,9,0.0185943,0.776557,0.173915,8.16149,21.19998918
MGI:2449119,A2m,F,ABDJ_79_216079,3.763,16.467,0.0485,0.4062,9,0.018633,0.755367,0.172615,8.37526,21.79999921
MGI:2449119,A2m,F,ABDJ_80_216080,3.198,15.182,0.0491,0.3972,8.8,0.0201624,0.77066,0.162335,8.08961,19.6999974
MGI:2668347,C8a,F,ABHU_99_222899,4.153,17.477,0.0506,0.4341,9,0.0188739,0.75987,0.180565,8.57905,22.99998684
MGI:2668347,C8a,F,ABHU_106_224106,5.327,19.223,0.051,0.4372,9.1,0.0179918,0.79107,0.219218,8.57255,24.29999874
MGI:2668347,C8a,F,ABHU_107_224107,3.581,17.359,0.049,0.4212,8.9,0.0195,0.803657,0.165787,8.59592,21.60001095
MGI:87968,Ahcy,F,ABDK_65_190365,4.224,17.436,0.051,0.4334,9,0.0187619,0.754805,0.182857,8.49804,23.10000596
MGI:87968,Ahcy,F,ABDK_61_181061,4.405,19.025,0.0519,0.4578,9.2,0.0189174,0.786157,0.182025,8.82081,24.20000076
MGI:87968,Ahcy,F,ABDK_72_190372,4.801,18.279,0.0526,0.4646,9.2,0.019521,0.768025,0.201723,8.8327,23.80000651
MGI:88357,Cdk4,F,ABFE_141_217741,3.55,15.85,0.0497,0.3862,8.6,0.0190246,0.780788,0.174877,7.77062,20.30000461
MGI:88357,Cdk4,F,ABFE_142_217742,4.456,16.664,0.05,0.3863,8.9,0.0173229,0.747265,0.199821,7.726,22.29998729
MGI:88357,Cdk4,F,ABFE_119_206819,4.519,17.311,0.0494,0.4194,9.1,0.0183144,0.755939,0.197336,8.48988,22.8999959
MGI:891978,Phyh,F,ABIL_42_218142,3.313,15.837,0.0493,0.4109,8.8,0.0208579,0.803909,0.168173,8.33469,19.69999092
MGI:891978,Phyh,F,ABIL_89_244289,3.791,17.509,0.0511,0.4426,9.1,0.0190776,0.754698,0.163405,8.66145,23.20000848
MGI:891978,Phyh,F,ABIL_39_218139,3.809,17.351,0.0505,0.4526,9,0.020296,0.778072,0.170807,8.96238,22.2999928
MGI:94890,Dhfr,F,AAUX_70_122070,3.897,17.633,0.0505,0.4483,9,0.0204703,0.80516,0.177945,8.87723,21.89999503
MGI:94890,Dhfr,F,AAUX_75_125375,3.482,15.648,0.0471,0.3961,8.8,0.0192282,0.759612,0.169029,8.40977,20.59999052
MGI:94890,Dhfr,F,AAUX_74_125374,4.251,16.689,0.0465,0.3849,9.1,0.0173378,0.751757,0.191486,8.27742,22.19999282
MGI:95636,Galc,F,AAOP_94_040494,3.157,16.453,0.0507,0.4286,8.8,0.020217,0.776085,0.148915,8.45365,21.19999742
MGI:95636,Galc,F,AAOP_95_040495,3.427,15.613,0.0493,0.3978,8.8,0.0194049,0.76161,0.167171,8.06897,20.49999343
MGI:95636,Galc,F,AAOP_93_040393,3.271,16.799,0.0495,0.3992,9,0.0185674,0.781349,0.15214,8.06465,21.49999552
MGI:96413,Idh1,F,AAVA_201_190701,5.242,17.548,0.0498,0.3999,8.9,0.017017,0.746723,0.223064,8.03012,23.50001272
MGI:96413,Idh1,F,AAVA_120_138120,2.867,12.143,0.0413,0.3014,7.9,0.0179405,0.722798,0.170655,7.29782,16.79999115
MGI:96413,Idh1,F,AAVA_110_138110,2.957,14.133,0.0436,0.335,8.5,0.0180108,0.759839,0.158978,7.68349,18.59999289
MGI:97621,Plk1,F,AAVR_107_230007,5.93,16.28,0.0487,0.3739,8.9,0.0160472,0.698713,0.254506,7.67762,23.29998154
MGI:97621,Plk1,F,AAVR_98_221098,3.647,16.843,0.0477,0.4014,9.1,0.0188451,0.790751,0.171221,8.41509,21.30000468
MGI:97621,Plk1,F,AAVR_110_230010,4.04,16.57,0.0487,0.4065,8.9,0.0183108,0.746396,0.181982,8.34702,22.20001179
