label,p_value,fold_change,adjusted_p_value
CPD037,0.440202034716181,-0.491397525978102,0.70815109932603
CPD047,0.899729621844773,-0.0807894000760414,0.958182988442906
CPD079,0.769961755027899,0.187334667679031,0.903096352439063
CPD589,,,
CPD590,0.8050027122553,0.158203653597666,0.915249173253758
CPD668,0.839492616534729,-0.129824416473218,0.932586889076168
CPD669,0.723329333026739,-0.226678953568103,0.880348750636576
CPD765,0.00659148196568436,1.59615955501145,0.0825456356933395
CPD784,0.473970569122329,0.456322415747559,0.730704627396925
CPD819,0.281006208476408,-0.681636814865836,0.57184763424949
CPD842,0.0230050095891546,1.38345929895682,0.148462283562113
CPD926,0.0558496792805381,1.21540718326499,0.231947137420194
CPD928,0.0399370373138623,1.29184460973834,0.196380675362331
CPD130,0.81657366141166,-0.15639581940255,0.921051518718791
CPD133,0.157010097297021,-0.885761833845941,0.436198700340529
CPD134,,,
CPD248,0.767350866287588,-0.189518971935835,0.901332763575897
CPD391,0.811260081962834,-0.153035019444294,0.917174592663537
CPD749,0.280947182678106,0.681718097604695,0.57184763424949
CPD761,0.0892471498117006,1.05239901546087,0.331722282861755
CPD762,0.57253036757666,-0.36049533286196,0.78604603837692
CPD825,0.049900639661727,1.20055116986157,0.224415031406883
CPD852,0.7139479434228,0.234686584258221,0.879156876716032
CPD001,0.016900255357798,1.43096716317297,0.118935831604697
CPD002,0.0952391011147861,1.03449355348371,0.342987420002704
CPD003,0.604226225905858,0.33131418954537,0.808854586090846
CPD004,0.842256462895131,0.127561113601284,0.932784708566853
CPD005,0.938021235865546,0.0498616193168188,0.974139204429282
CPD006,0.471644264341754,-0.458696407434186,0.729882949000357
CPD007,0.367811820995018,-0.571851421391103,0.661813191511086
CPD008,0.682741221817134,-0.261578655848562,0.86259175912506
CPD010,0.477402810530786,-0.452830620469865,0.733218656173698
CPD011,0.0106885979264457,1.51479218913415,0.094557378831841
CPD847,0.000371401985030052,-1.97070083645062,0.0125967173256026
CPD013,0.151180764311245,-0.897767049975437,0.42836644065839
